EBT Packet Time	tracking	tracking time(s)	T[0,0]	T[0,1]	T[0,2]	T[0,3]	T[1,0]	T[1,1]	T[1,2]	T[1,3]	T[2,0]	T[2,1]	T[2,2]	T[2,3]	T[3,0]	T[3,1]	T[3,2]	T[3,3]	Frame Time(ms)	KUKA Data Time	x	y	z	a	b	c
1464723508.723973	1	1.03464	0.998742	0.048079	0.014265	-0.529212	-0.049334	0.993016	0.107175	0.186800	-0.009013	-0.107743	0.994138	2.154067	0.000000	0.000000	0.000000	1.000000	38	1464723508.723840	-708.921600	11.775100	0.037800	-0.010200	-0.019600	0.010500	
1464723508.766155	1	1.07683	0.998739	0.048143	0.014223	-0.529486	-0.049422	0.992666	0.110321	0.186428	-0.008807	-0.110885	0.993794	2.154553	0.000000	0.000000	0.000000	1.000000	42	1464723508.759804	-708.921600	11.775100	0.037800	-0.010200	-0.019600	0.010500	
1464723508.803844	1	1.11452	0.998748	0.048352	0.012855	-0.529179	-0.049457	0.992958	0.107647	0.186653	-0.007559	-0.108148	0.994106	2.154603	0.000000	0.000000	0.000000	1.000000	37	1464723508.795806	-708.925400	11.775200	0.036700	-0.010200	-0.019700	0.010500	
1464723508.842583	1	1.15328	0.998771	0.047915	0.012665	-0.529060	-0.049004	0.992962	0.107824	0.186320	-0.007410	-0.108312	0.994089	2.154712	0.000000	0.000000	0.000000	1.000000	38	1464723508.831905	-708.925400	11.775200	0.036700	-0.010200	-0.019700	0.010500	
1464723508.879017	1	1.18968	0.998832	0.047033	0.011108	-0.528895	-0.047934	0.993430	0.103920	0.186811	-0.006148	-0.104331	0.994524	2.154170	0.000000	0.000000	0.000000	1.000000	36	1464723508.867876	-708.925400	11.775200	0.036700	-0.010200	-0.019700	0.010500	
1464723508.922770	1	1.23346	0.998806	0.047561	0.011195	-0.528944	-0.048494	0.992969	0.107988	0.186877	-0.005980	-0.108402	0.994089	2.154778	0.000000	0.000000	0.000000	1.000000	43	1464723508.915872	-708.925800	11.775300	0.036700	-0.009900	-0.019800	0.010400	
1464723508.961376	1	1.27206	0.998800	0.047767	0.010804	-0.528807	-0.048659	0.992912	0.108437	0.187002	-0.005548	-0.108832	0.994045	2.155182	0.000000	0.000000	0.000000	1.000000	38	1464723508.951830	-708.925800	11.775300	0.036700	-0.010100	-0.019800	0.010400	
1464723508.998147	1	1.30881	0.998789	0.047468	0.012968	-0.529474	-0.048572	0.993245	0.105376	0.186562	-0.007878	-0.105878	0.994348	2.154113	0.000000	0.000000	0.000000	1.000000	37	1464723508.987836	-708.925800	11.775300	0.036700	-0.009900	-0.019800	0.010400	
1464723509.033629	1	1.34431	0.998764	0.047821	0.013564	-0.529629	-0.048998	0.993088	0.106654	0.186029	-0.008369	-0.107187	0.994204	2.154511	0.000000	0.000000	0.000000	1.000000	35	1464723509.023842	-708.925800	11.775300	0.036700	-0.009900	-0.019800	0.010400	
1464723509.075441	1	1.38611	0.998787	0.047071	0.014433	-0.529025	-0.048330	0.993297	0.104999	0.186601	-0.009394	-0.105570	0.994368	2.153190	0.000000	0.000000	0.000000	1.000000	41	1464723509.071845	-708.925800	11.775300	0.036700	-0.009900	-0.019800	0.010400	
1464723509.111584	1	1.42226	0.998834	0.046226	0.013931	-0.528825	-0.047410	0.993648	0.102058	0.186760	-0.009125	-0.102599	0.994681	2.152862	0.000000	0.000000	0.000000	1.000000	36	1464723509.107858	-708.926100	11.777200	0.038100	-0.009900	-0.019800	0.010200	
1464723509.150337	1	1.46103	0.998805	0.046202	0.015934	-0.529323	-0.047609	0.993476	0.103630	0.186610	-0.011042	-0.104265	0.994488	2.152529	0.000000	0.000000	0.000000	1.000000	38	1464723509.143768	-708.926100	11.777200	0.038100	-0.009900	-0.019800	0.010200	
1464723509.187265	1	1.49792	0.998794	0.046716	0.015087	-0.529224	-0.048043	0.993339	0.104734	0.186850	-0.010093	-0.105332	0.994386	2.152806	0.000000	0.000000	0.000000	1.000000	37	1464723509.179832	-708.926100	11.777200	0.038100	-0.009900	-0.019800	0.010200	
1464723509.224459	1	1.53515	0.998768	0.046993	0.015938	-0.529697	-0.048431	0.993099	0.106808	0.186312	-0.010809	-0.107449	0.994152	2.152871	0.000000	0.000000	0.000000	1.000000	37	1464723509.215787	-708.929800	11.777300	0.037000	-0.009900	-0.019900	0.010200	
